"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"Ribosome biogenesis","CSNK2A1",TRUE,TRUE,FALSE,FALSE,0.264852772851264,0.506795353109514,0.999578157159551,0.6977471559666
"Spliceosome","EIF4A3",TRUE,FALSE,FALSE,FALSE,1.27380715367737,0.0336118213397571,0.999578157159551,2.60670609058117
"Spliceosome","ALYREF",FALSE,FALSE,FALSE,FALSE,0.786069209489355,0.0592149869721048,0.999578157159551,2.22946331607405
"Spliceosome","SRSF6",FALSE,FALSE,FALSE,FALSE,0.644736922559723,0.118002459645353,0.999578157159551,1.76991883939115
"Spliceosome","SNRPD1",TRUE,FALSE,FALSE,FALSE,0.510221808702921,0.162106642381085,0.999578157159551,1.55389615983847
"Spliceosome","SNRPB",FALSE,FALSE,FALSE,FALSE,0.506569591137388,0.169099595374597,0.999578157159551,1.52477850595803
"Spliceosome","PUF60",TRUE,FALSE,FALSE,FALSE,0.647594587788842,0.180653033981143,0.999578157159551,1.47899353408606
"Spliceosome","MAGOH",TRUE,FALSE,FALSE,FALSE,0.494851707483865,0.182174989144733,0.999578157159551,1.47316148925593
"Spliceosome","CHERP",FALSE,FALSE,FALSE,FALSE,0.536225470295911,0.187015900103506,0.999578157159551,1.4549979823699
"Spliceosome","SRSF7",FALSE,FALSE,FALSE,FALSE,0.554155440820242,0.202210654205072,0.999578157159551,1.40017356130178
"Spliceosome","SNRPB2",TRUE,FALSE,FALSE,FALSE,0.487137287748529,0.202500047712033,0.999578157159551,1.39917413283189
"Spliceosome","RBM17",TRUE,FALSE,FALSE,FALSE,0.793631815857718,0.242976848619161,0.999578157159551,1.26945241061055
"Spliceosome","SRSF2",FALSE,FALSE,FALSE,FALSE,0.483039938071563,0.243389386708328,0.999578157159551,1.26822884162779
"Spliceosome","SRSF3",TRUE,FALSE,FALSE,FALSE,0.442945727490686,0.248905240073382,0.999578157159551,1.25204607883652
"Spliceosome","RP9",TRUE,FALSE,FALSE,FALSE,0.570368373990421,0.249199077031887,0.999578157159551,1.25121300606074
"Spliceosome","PPIH",TRUE,FALSE,FALSE,FALSE,0.451830468355575,0.251797715369366,0.999578157159551,1.24370529923723
"Spliceosome","LSM5",FALSE,FALSE,FALSE,FALSE,0.471969419441101,0.260433094608654,0.999578157159551,1.21918711158433
"Spliceosome","HNRNPA1",FALSE,FALSE,FALSE,FALSE,0.508902773612426,0.266916960515561,0.999578157159551,1.201231518
"Spliceosome","TXNL4A",TRUE,FALSE,FALSE,FALSE,0.410098378156924,0.268553734951006,0.999578157159551,1.19675873211979
"Spliceosome","HNRNPC",TRUE,FALSE,FALSE,FALSE,0.383567898651933,0.2881596240171,0.999578157159551,1.14485384546688
"Spliceosome","SNRPE",TRUE,FALSE,FALSE,FALSE,0.379432005832153,0.317879738034676,0.999578157159551,1.0714196434423
