"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA2","potential_malignant_T_cells_CNV_high_top25",-0.186293763799518,7.08340593959078,0.30335453314073,0.598114547686733,0.999578157159551,-0.550776300453033
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA3","potential_malignant_T_cells_CNV_high_top25",0.0755341757430783,6.28982130554523,0.0323727232882369,0.862070480329096,0.999578157159551,0.179924215402588
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA4","potential_malignant_T_cells_CNV_high_top25",0.190109809458664,6.97279794322996,0.318362991365554,0.589381760998862,0.999578157159551,0.564236644826932
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA5","potential_malignant_T_cells_CNV_high_top25",-0.0775366756650557,6.72516198192685,0.0386320632996304,0.849501809808507,0.999578157159551,-0.196550409054854
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA6","potential_malignant_T_cells_CNV_high_top25",0.0239166286023191,8.25821537506231,0.00545139173790851,0.943111283578345,0.999578157159551,0.0738335407379905
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA7","potential_malignant_T_cells_CNV_high_top25",0.333616149889785,8.16212712227933,1.05400093497136,0.337167332792203,0.999578157159551,1.02664547676954
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMA8","potential_malignant_T_cells_CNV_high_top25",0.543567633588218,2.28344217967669,0.231328058435323,0.644718183229185,0.999578157159551,0.480965755990302
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB1","potential_malignant_T_cells_CNV_high_top25",0.469621701177975,7.65868710459204,2.17128272979364,0.182078418724305,0.999578157159551,1.47352730880484
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB10","potential_malignant_T_cells_CNV_high_top25",0.120367628931282,6.86816948424228,0.0993139749894493,0.761410196907552,0.999578157159551,0.315141198495927
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB2","potential_malignant_T_cells_CNV_high_top25",0.169505884083006,6.78362652647109,0.219201828014085,0.653210365867732,0.999578157159551,0.468189948647005
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB3","potential_malignant_T_cells_CNV_high_top25",0.275572512898443,7.36453912619359,0.690216285014482,0.432234420985406,0.999578157159551,0.830792564371205
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB4","potential_malignant_T_cells_CNV_high_top25",-0.226933101198235,6.12112996964539,0.296435189100829,0.602239006532099,0.999578157159551,-0.544458620191497
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB5","potential_malignant_T_cells_CNV_high_top25",0.136974497571203,4.61913011751704,0.124744576229198,0.733867549664398,0.999578157159551,0.353191982113408
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB6","potential_malignant_T_cells_CNV_high_top25",-0.511968113162403,7.00674622098552,2.28693558470167,0.172190266362225,0.999578157159551,-1.51226174477227
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB7","potential_malignant_T_cells_CNV_high_top25",0.263581635254526,6.81245122034781,0.669337405686452,0.438985414516436,0.999578157159551,0.818130433174596
"potential malignant T cells (CNV-high top 25%)","hsa03050","Proteasome","KEGG Proteasome","PSMB8","potential_malignant_T_cells_CNV_high_top25",-0.077517422778498,7.23877152558168,0.0520763450238672,0.825705311793389,0.999578157159551,-0.228202421161273
