"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","CCDC191",-1.077243061676,3.11922414600395,2.66598218390466,0.14465059488672,0.999578157159551,-1.63278356921689
"potential malignant T cells (CNV-high top 25%)","SHLD2",0.810263919324782,4.36965999993353,2.66515177476217,0.144590513044181,0.999578157159551,1.63252925693911
"potential malignant T cells (CNV-high top 25%)","STK24",0.536111126302592,6.56038242453833,2.66325087174995,0.144648063643334,0.999578157159551,1.63194695739474
"potential malignant T cells (CNV-high top 25%)","TSEN54",0.640432903196164,6.22929756313499,2.66065315146604,0.144820080754634,0.999578157159551,1.63115086716896
"potential malignant T cells (CNV-high top 25%)","HIST1H1E",0.664359256524784,8.90033811572295,2.65860888612488,0.14494820375665,0.999578157159551,1.63052411393542
"potential malignant T cells (CNV-high top 25%)","ZNF793",-0.880493365607422,4.3603251820769,2.65543488977956,0.141246736642019,0.999578157159551,-1.62955051771326
"potential malignant T cells (CNV-high top 25%)","PELP1",-0.783566232391916,4.76703266322099,2.65360316991562,0.145304999132209,0.999578157159551,-1.62898838851467
"potential malignant T cells (CNV-high top 25%)","SLC3A2",0.595644976531532,7.87330797446021,2.65286211388829,0.145323679260644,0.999578157159551,1.62876091366667
"potential malignant T cells (CNV-high top 25%)","PDSS2",-0.914624545148161,3.76932600373862,2.65286019507694,0.145430053621504,0.999578157159551,-1.62876032462635
"potential malignant T cells (CNV-high top 25%)","CDV3",0.72423561412168,7.71840295983341,2.6493642576349,0.145552679587889,0.999578157159551,1.62768678118208
"potential malignant T cells (CNV-high top 25%)","C9orf85",-0.692197994191145,4.82708564078969,2.64860557992045,0.145622618327412,0.999578157159551,-1.62745371053079
"potential malignant T cells (CNV-high top 25%)","PNPT1",0.942824995891843,5.50523154202811,2.64860241963523,0.145616193995068,0.999578157159551,1.62745273960113
"potential malignant T cells (CNV-high top 25%)","RCBTB2",0.596406438427638,7.71447240504794,2.64620034227267,0.145760374227249,0.999578157159551,1.62671458537528
"potential malignant T cells (CNV-high top 25%)","CORO1C",-0.707016487613119,4.83101730395354,2.63994460428971,0.146200788886285,0.999578157159551,-1.62479063398633
"potential malignant T cells (CNV-high top 25%)","PACRGL",-0.853555818833266,3.09553962745095,2.63974921459947,0.146368896494312,0.999578157159551,-1.62473050522217
"potential malignant T cells (CNV-high top 25%)","MPV17L2",0.995610297289506,3.16149989626062,2.63623291044162,0.146346439008856,0.999578157159551,1.62364802541734
"potential malignant T cells (CNV-high top 25%)","TLNRD1",0.879735227925173,5.40329179503599,2.63594450701234,0.14645124479873,0.999578157159551,1.6235592095801
"potential malignant T cells (CNV-high top 25%)","BTBD8",-1.18756833494411,2.72765053579053,2.63350497112266,0.146796024170619,0.999578157159551,-1.62280774311767
"potential malignant T cells (CNV-high top 25%)","TRIM13",-0.713259738953182,5.41787255046157,2.63288755358503,0.146645697727742,0.999578157159551,-1.62261750070219
"potential malignant T cells (CNV-high top 25%)","PCNA",0.754617148071132,5.54086999522367,2.63021506246904,0.146828635938706,0.999578157159551,1.62179377926697
"potential malignant T cells (CNV-high top 25%)","PIGA",-0.697586178024043,4.31254108551504,2.62781999969461,0.147023656070034,0.999578157159551,-1.62105521179712
"potential malignant T cells (CNV-high top 25%)","HYPK",0.974689697421181,3.6071382714239,2.62727746178325,0.14722000573541,0.999578157159551,1.62088786218642
"potential malignant T cells (CNV-high top 25%)","AKT3",-0.745907619896862,4.91491581966694,2.6215398362555,0.147413659435887,0.999578157159551,-1.61911699276349
"potential malignant T cells (CNV-high top 25%)","PCCB",0.66246817338415,4.54231645482439,2.62107786287027,0.147509455789731,0.999578157159551,1.61897432433942
"potential malignant T cells (CNV-high top 25%)","RIPOR1",-0.897065581900331,3.78200867127148,2.62090187841073,0.147446628888035,0.999578157159551,-1.6189199728247
"potential malignant T cells (CNV-high top 25%)","MPDU1",-0.748364890365858,5.06749870150312,2.61754964678532,0.147678663621023,0.999578157159551,-1.6178843119288
"potential malignant T cells (CNV-high top 25%)","SLC31A1",0.868336298885745,3.27156671406992,2.61342377889026,0.148108397467017,0.999578157159551,1.61660872782818
"potential malignant T cells (CNV-high top 25%)","EIF4G3",0.748946900403631,4.62074165144805,2.613347726007,0.148009989956637,0.999578157159551,1.61658520530376
"potential malignant T cells (CNV-high top 25%)","RERE",-0.677327151765702,5.16490470348314,2.61114996369071,0.148100578755659,0.999578157159551,-1.61590530777354
"potential malignant T cells (CNV-high top 25%)","CD44",1.05526395845651,7.21522908082317,2.61005308018413,0.148160996130502,0.999578157159551,1.6155658699614
"potential malignant T cells (CNV-high top 25%)","CPT1A",0.584864204694333,6.60643822710173,2.60869587903011,0.148259653571889,0.999578157159551,1.61514577640228
"potential malignant T cells (CNV-high top 25%)","CFH",-2.33608034795271,4.99516352262345,2.60633808749631,0.151909108019449,0.999578157159551,-1.61441571086765
"potential malignant T cells (CNV-high top 25%)","GRAMD4",-0.610943559262292,5.35407660750907,2.60243726207805,0.148704416296885,0.999578157159551,-1.61320713551548
"potential malignant T cells (CNV-high top 25%)","CCDC14",-0.570672251218504,5.87756698288918,2.59871405430648,0.148928864640006,0.999578157159551,-1.61205274551005
